genres,count
rock,1442
rap,1370
hip hop,1076
pop,1035
classic rock,809
pop rap,761
permanent wave,701
dance pop,655
trap,607
hard rock,557
singer-songwriter,504
mellow gold,490
album rock,467
modern rock,439
glam rock,436
gangster rap,422
blues rock,419
metal,377
art rock,374
southern hip hop,332
edm,317
alternative metal,305
pop rock,275
pop dance,271
canadian pop,257
new wave pop,254
folk,241
alternative rock,238
west coast rap,235
atl hip hop,233
detroit hip hop,208
roots rock,204
nu metal,199
psychedelic rock,194
folk rock,194
tropical house,192
country,190
hardcore hip hop,188
protopunk,188
indie rock,186
electro house,182
contemporary country,179
soft rock,176
stomp and holler,174
heartland rock,174
electropop,174
melodic rap,171
piano rock,163
indie folk,157
country road,156
art pop,156
british invasion,152
post-teen pop,151
indie pop,143
glam metal,141
neo mellow,137
progressive house,136
g funk,125
east coast hip hop,120
adult standards,119
lounge,119
vocal jazz,119
rap rock,116
old school thrash,109
thrash metal,109
lilith,108
electric blues,108
british blues,107
australian pop,102
baton rouge rap,101
punk,100
canadian contemporary r&b,98
chicago rap,97
queens hip hop,94
easy listening,93
new orleans rap,93
modern power pop,91
urban contemporary,91
country dawn,91
indie poptimism,90
melancholia,89
detroit rock,88
industrial,88
industrial metal,88
industrial rock,88
new americana,87
chicano rap,84
conscious hip hop,81
power pop,75
pub rock,75
canadian hip hop,75
toronto rap,75
alternative dance,75
uk pop,74
dance rock,72
louisville indie,71
dmv rap,69
reggae fusion,69
francoton,68
french hip hop,68
